instruction,recoil_type,x,y,depth,s1_photons,s2_electrons,t
1,NR,0,0,0,0,1,0
1,NR,0,0,15,0,1,5000
1,NR,0,0,30,0,1,10000
1,NR,0,0,0,0,2,15000
1,NR,0,0,15,0,2,20000
1,NR,0,0,30,0,2,25000
1,NR,0,0,0,0,3,30000
1,NR,0,0,15,0,3,35000
1,NR,0,0,30,0,3,40000
1,NR,0,0,0,0,5,45000
1,NR,0,0,15,0,5,50000
1,NR,0,0,30,0,5,55000
1,NR,0,0,0,0,10,60000
1,NR,0,0,15,0,10,65000
1,NR,0,0,30,0,10,70000
1,NR,0,0,0,0,15,75000
1,NR,0,0,15,0,15,80000
1,NR,0,0,30,0,15,85000
1,NR,0,0,0,0,20,90000
1,NR,0,0,15,0,20,95000
1,NR,0,0,30,0,20,100000
1,NR,0,0,0,0,25,105000
1,NR,0,0,15,0,25,110000
1,NR,0,0,30,0,25,115000
